No.,REGISTRATION YEAR,REGISTRATION MONTH,MANUFACTURE YEAR,MAKER,CAR NAME,Grade,CHASSIS NO,PREFIX,SHIFT,COLOR,DOOR,WD,OPTIONS,REMARKS,FUEL TYPE,Engine Size,Engine Size Unit,KM,Odometer (Denom.),,PRICE
1,2011,9,,BMW,3 SERIES,320I HIGH LINE PKPG,WBAPG36020NN37309,LBA-PG20,AT,WHITE,4,2WD,"PS,PW,AC,NV,LS,AW,FOG,ABS,AB",FRONT SEAT HEATER,PETROL,1990,cc,85000,KM,,1
2,2012,5,2012,DAIHATSU,HIJET CARGO,,S331V-0072654,EBD-S331V,AT,WHITE,5,4WD,"PS,AC,AB",,PETROL,650,cc,179000,KM,,2
3,2002,,2002,DAIHATSU,HIJET TRUCK,,S210P-0147248,TE-S210P,MT,WHITE,2,4WD,"PS,AC",,PETROL,650,cc,90000,KM,,3
4,2011,10,2011,DAIHATSU,HIJET TRUCK,EXTRA,S211P-0159384,EBD-S211P,AT,SILVER,2,4WD,"PS,PW,AC",,PETROL,650,cc,128000,KM,,4
5,2012,3,2012,DAIHATSU,HIJET TRUCK,SPECIAL,S201P-0079886,EBD-S201P,MT,WHITE,2,2WD,,,PETROL,650,cc,48000,KM,,5
6,2016,6,2016,DAIHATSU,HIJET TRUCK,,S510P-0103966,EBD-S510P,AT,WHITE,2,4WD,"PS,AC,ABS,AB",,PETROL,650,cc,73000,KM,,6
7,2016,2,,FORD,EXPLORER,,1FM5K8HT1GGB23249,ABA-1FM5KT,AT,BLACK,5,4WD,"PS,PW,AC,LS,AW,SR,RR,ABS,AB,RS",,PETROL,3490,cc,129000,KM,,7
8,2007,12,,FORD,EXPLORER SPORT TRAC,,1FMEU51E68UA21906,ABF-1FMKU51,AT,BLACK,4,WD,"PS,PW,AC,NV,FOG,RR,ABS,AB",,PETROL,4010,cc,150000,KM,,8
9,2006,9,2006,HINO,DUTRO,,XZU346-1001088,PB-XZU346M,AT,WHITE,2,2WD,"PS,PW,AC,ABS,AB",,DIESEL,4890,cc,192000,KM,,9
10,2013,3,,HINO,RANGER,,FD9JLA-11967,TKG-FD9JLAA,MT,WHITE,2,2WD,"PS,PW,AC",,DIESEL,5120,cc,882000,KM,,10
11,2015,6,,HINO,RANGER,,FD7JPA-11014,TKG-FD7JPAA,MT,RED,2,2WD,"PS,PW,AC,AB",,DIESEL,6400,cc,806000,KM,,11
12,2017,6,2017,HONDA,SHUTTLE,HYBRID,GP8-1103764,DAA-GP8,AT,SILVER,5,4WD,"PS,PW,AC,ABS",,HYBRID(PETROL),1490,cc,147000,KM,,12
